date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:05	288/288	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Mar%202026%2004:23:04%20GMT	http://scanme.nmap.org/robots.txt		(from )
00:23:05	6974/6974	---M-Z	200	added ('OK')	text/html	date:Thu,%2012%20Mar%202026%2004:23:05%20GMT	http://scanme.nmap.org/	scanme.nmap.org/index.html	(from )
00:23:06	18601/18601	---M--	200	added ('OK')	image/png	etag:%2248a9-513cfc646f129%22	http://scanme.nmap.org/images/sitelogo.png	scanme.nmap.org/images/sitelogo.png	(from http://scanme.nmap.org/)
00:23:07	4796/4796	---M--	200	added ('OK')	image/svg+xml	etag:%2212bc-5fabbbf517c07%22	http://scanme.nmap.org/shared/images/nst-icons.svg	scanme.nmap.org/shared/images/nst-icons.svg	(from http://scanme.nmap.org/)
00:23:08	4658/4658	---M-Z	200	added ('OK')	text/css	etag:%221232-5fabbbf51bd22-gzip%22	http://scanme.nmap.org/shared/css/nst.css?v=2	scanme.nmap.org/shared/css/nst5e1f.css	(from http://scanme.nmap.org/)
00:23:09	2235/2235	---M-Z	200	added ('OK')	application/javascript	etag:%228bb-5fabbbf5106d7-gzip%22	http://scanme.nmap.org/shared/js/nst.js?v=2	scanme.nmap.org/shared/js/nst5e1f.js	(from http://scanme.nmap.org/)
00:23:10	582/582	---M-Z	200	added ('OK')	text/css	etag:%22246-5fabbbf51ca27-gzip%22	http://scanme.nmap.org/shared/css/nst-foot.css?v=2	scanme.nmap.org/shared/css/nst-foot5e1f.css	(from http://scanme.nmap.org/)
00:23:11	3926/3926	---M-Z	200	added ('OK')	text/css	etag:%22f56-5d917f9cea62c;5d917fab78cb2-gzip%22	http://scanme.nmap.org/site.css	scanme.nmap.org/site.css	(from http://scanme.nmap.org/)
00:23:12	394/394	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2012%20Mar%202026%2004:23:12%20GMT	http://scanme.nmap.org/shared/images/tiny-eyeicon.png	scanme.nmap.org/shared/images/tiny-eyeicon.png	(from http://scanme.nmap.org/)
00:23:13	529/529	---M--	200	added ('OK')	image/png	etag:%22211-513cfc6a6ea65%22	http://scanme.nmap.org/shared/images/tiny-eyeicon.png	scanme.nmap.org/shared/images/tiny-eyeicon.html	(from http://scanme.nmap.org/shared/images/tiny-eyeicon.png)
